title,text,subject,date
"25,000 Doses Of Remdesivir From Gilead Sciences Reaches India","Last month, Gilead spokesperson had told Sputnik that it will provide all its licensing partners in India with the technical support for the addition of new manufacturing facilities but will not send any more specialists there.",CovidNews," May 08, 2021"
621 fake Remdesivir vials found in Bhakra,"As many as 621 fake Remdesivir injection vials were found dumped in the Bhakra canal near here today. The drug, prescribed for serious cases of Covid 19, is short in supply and several cases of black marketing have been reported in the recent past.",CovidNews,"May 06,2021"
Punjab: Drug Control Officer says Remdesivir vials found in Bhakra canal are fake,"A video of medicines and vials of injections floating in Punjab’s Bhakra canal is doing the rounds on social media. BJP spokesperson Sambit Patra tweeted the video and rebuked the Punjab government by saying, “Respected CM Punjab, This is abhorring & Criminal While patients struggle for essential medicines in Punjab ..thousands of vials of Injection Remdesivir are found dumped in the Bhakra canal! Who’s responsible for this criminal act? Why’s the Punjab Govt silent?”. At the time of writing this article, Patra’s tweet garnered close to 1,300 retweets.",CovidNews," May 08, 2021"
"About 12,500 Oxygen Beds Getting Ready, Remdesivir to Be Available in 5 Districts: TN Minister","n order to ensure that Remdesivir is freely available in other parts of Tamil Nadu, the government would make available the antiviral drug at Madurai, Tiruchirappalli, Salem, Coimbatore and Tirunelveli for sale over the counter as is being done at the Kilpauk Government Medical College Hospital here, the minister said.",CovidNews," May 08, 2021"
Fake Remdesivir: Police raid shop of Jabalpur-based man held in Gujarat bust,"JABALPUR: The shop and other premises of a Jabalpur-based businessman picked up by Gujarat police for allegedly dealing in fake Remdesivir injections were raided on Saturday, an official said here.",CovidNews," May 08, 2021"
"Hyderabad: Five including priest try to sell remdesivir in black market, arrested with 13 vials ",The five accused tried to sell anti-COVID drug remdesivir at a very high price in the black market in Hyderabad. They were arrested in two separate incidents.,CovidNews," May 08, 2021"
The five accused tried to sell anti-COVID drug remdesivir at a very high price in the black market in Hyderabad. They were arrested in two separate incidents.,"""The plan has been prepared in consultation with the marketing companies. The companies have been instructed to ensure timely supplies to all states/ UTs strictly as per the supply plan,"" the statement added.",CovidNews," May 08, 2021"
Remdesivir marketing cos to supply 5.3 mn vials for Apr 21-May 16 period,"Marketing companies of remdesivir, used in the treatment of COVID-19 patients, will supply 53 lakh vials of the antiviral drug to the states/UTs for the period between April 21 and May 16, the Ministry of Chemicals and Fertilizers said in a statement on Saturday.",CovidNews," May 08, 2021"
Covid-19: Doorstep delivery of oxygen cylinders in Gurgaon from Sunday,"For this purpose, patients or their attendants will have to register on an online portal, detailing, among other things, the name and age of the patient, the address where the cylinder is required, the Aadhaar number of the patient, as well as the size of the required cylinder (small/big) and the patient’s oxygen level.",CovidNews," May 8, 2021"
COVID-19: Understanding the difference between oxygen concentrator and oxygen cylinder,"While a continuous flow oxygen concentrator provides the same flow of oxygen in a minute until it’s been turned off, pulse dose identifies the patient's breathing pattern and gives out oxygen when it detects inhalation, explained Dr Tushar Tayal, department of internal medicine, CK Birla Hospital, Gurgaon",CovidNews," May 07, 2021"
"Oxygen saturation of 92 or 93 should not be considered critical, says Randeep Guleria","Oxygen saturation of 92 or 93 in COVID-19 patients should not be considered critical; instead, this level is only a buffer that enables the patient to reach hospital on time, according to All India Institute of Medical Sciences (AIIMS) director Randeep Guleria. In a statement released by the Health Ministry on Thursday, he advised that judicious use of oxygen was the need of the hour.",CovidNews," May 07, 2021"
"Covid-19: Kejriwal instructs officials to ensure availability of beds, oxygen supply","Delhi chief minister Arvind Kejriwal on Friday instructed officers to ensure that there is no shortage of beds, now that the oxygen supply situation is coming under control, reported news agency ANI. In a high-level meeting to review the coronavirus disease (Covid-19) situation in Delhi, Kejriwal also instructed that no life should be lost due to the shortage of medical oxygen and the vaccination drive should be complete in three months, reported the news agency.",CovidNews," May 07 , 2021"
